file_name,title,source_url,page_count
03_01_議事要旨（PDF形式：375KB）.pdf,議事要旨（PDF形式：375KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/001_gijiyoshi.pdf,6
03_02_議事要旨（PDF形式：406KB）.pdf,議事要旨（PDF形式：406KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/004_gijiyoshi.pdf,5
03_03_議事要旨（PDF形式：427KB）.pdf,議事要旨（PDF形式：427KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/002_gijiyoshi.pdf,7
03_04_議事要旨（PDF形式：427KB）2.pdf,議事要旨（PDF形式：427KB）2.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/003_gijiyoshi.pdf,7
03_05_資料1　議事次第・配布資料一覧.pdf,資料1　議事次第・配布資料一覧.pdf,null,1
03_06_資料1　議事次第・配布資料一覧（PDF形式：58KB）.pdf,資料1　議事次第・配布資料一覧（PDF形式：58KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/003_01_00.pdf,1
03_07_資料1　議事次第・配布資料一覧（PDF形式：61KB）.pdf,資料1　議事次第・配布資料一覧（PDF形式：61KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/004_01_00.pdf,1
03_08_資料1　議事次第・配布資料一覧（PDF形式：67KB）.pdf,資料1　議事次第・配布資料一覧（PDF形式：67KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/002_01_00.pdf,1
03_09_資料1　議事次第・配布資料一覧（PDF形式：69KB）.pdf,資料1　議事次第・配布資料一覧（PDF形式：69KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/001_01_00.pdf,1
03_10_資料2　AI利活用における民事責任の在り方に関する研究会の開催 について（PDF形式：112KB）.pdf,資料2　AI利活用における民事責任の在り方に関する研究会の開催 について（PDF形式：112KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/001_02_00.pdf,2
03_11_資料2　構成員等名簿（PDF形式：87KB）.pdf,資料2　構成員等名簿（PDF形式：87KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/003_02_00.pdf,1
03_12_資料2　構成員等名簿（PDF形式：87KB）2.pdf,資料2　構成員等名簿（PDF形式：87KB）2.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/004_02_00.pdf,1
03_13_資料2　構成員等名簿（PDF形式：96KB）.pdf,資料2　構成員等名簿（PDF形式：96KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/002_02_00.pdf,1
"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf","資料3　事務局説明資料（PDF形式：1,338KB）.pdf",https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/001_03_00.pdf,20
"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf","資料3　事務局説明資料（PDF形式：2,122KB）.pdf",https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/002_03_00.pdf,28
03_16_資料3　事務局説明資料（PDF形式：623KB）.pdf,資料3　事務局説明資料（PDF形式：623KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/004_03_00.pdf,10
03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,資料3　事務局説明資料（PDF形式：998KB）.pdf,https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/pdf/003_03_00.pdf,37
